fid,VarZ,X,Y
"621",0,"678585","3376155"
"622",0,"678685","3376155"
"623",0,"678785","3376155"
"624",0,"678885","3376155"
"625",0,"678985","3376155"
"626",0,"679085","3376155"
"627",0,"679185","3376155"
"628",0,"679285","3376155"
"629",0,"679385","3376155"
"630",0,"679485","3376155"
"631",0,"679585","3376155"
"632",0,"679685","3376155"
"633",0,"679785","3376155"
"634",0,"679885","3376155"
"635",0,"679985","3376155"
"636",0,"680085","3376155"
"637",0,"680185","3376155"
"638",0,"680285","3376155"
"639",0,"680385","3376155"
"640",0,"680485","3376155"
"641",0,"680585","3376155"
"642",0,"680685","3376155"
"643",0,"680785","3376155"
"644",0,"680885","3376155"
"645",0,"680985","3376155"
"646",0,"681085","3376155"
"647",0,"681185","3376155"
"648",0,"681285","3376155"
"649",0,"681385","3376155"
"650",0,"681485","3376155"
"651",0,"681585","3376155"
"652",0,"681685","3376155"
"653",0,"681785","3376155"
"654",0,"681885","3376155"
"655",0,"681985","3376155"
"656",0,"682085","3376155"
"657",0,"682185","3376155"
"658",0,"682285","3376155"
"659",0,"682385","3376155"
"660",0,"682485","3376155"
"661",0,"682585","3376155"
"662",0,"682685","3376155"
"663",0,"682785","3376155"
"664",0,"682885","3376155"
"665",0,"682985","3376155"
"666",0,"683085","3376155"
"667",0,"683185","3376155"
"668",0,"683285","3376155"
"669",0,"683385","3376155"
"670",0,"683485","3376155"
"671",0,"683585","3376155"
"672",0,"683685","3376155"
"673",0,"683785","3376155"
"674",0,"683885","3376155"
"675",0,"683985","3376155"
"676",0,"684085","3376155"
"677",0,"684185","3376155"
"678",0,"684285","3376155"
"679",0,"684385","3376155"
"680",0,"684485","3376155"
"681",0,"684585","3376155"
"682",0,"684685","3376155"
"683",0,"684785","3376155"
"684",0,"684885","3376155"
"685",0,"684985","3376155"
"686",0,"685085","3376155"
"687",0,"685185","3376155"
"688",0,"685285","3376155"
"689",0,"685385","3376155"
"690",0,"685485","3376155"
"691",0,"685585","3376155"
"692",0,"685685","3376155"
"693",0,"685785","3376155"
"694",0,"685885","3376155"
"695",0,"685985","3376155"
"696",0,"686085","3376155"
"697",0,"686185","3376155"
"698",0,"686285","3376155"
"699",0,"686385","3376155"
"700",0,"686485","3376155"
"701",0,"686585","3376155"
"702",0,"686685","3376155"
"703",0,"686785","3376155"
"704",0,"686885","3376155"
"705",0,"686985","3376155"
"706",0,"687085","3376155"
"707",0,"687185","3376155"
"708",0,"687285","3376155"
"709",0,"687385","3376155"
"710",0,"687485","3376155"
"711",0,"687585","3376155"
"712",0,"687685","3376155"
"713",0,"687785","3376155"
"714",0,"687885","3376155"
"715",0,"687985","3376155"
"716",0,"688085","3376155"
"717",0,"688185","3376155"
"718",0,"688285","3376155"
"719",0,"688385","3376155"
"720",0,"688485","3376155"
"721",0,"688585","3376155"
"722",0,"688685","3376155"
"723",0,"688785","3376155"
"724",0,"688885","3376155"
"725",0,"688985","3376155"
"726",0,"689085","3376155"
"727",0,"689185","3376155"
"728",0,"689285","3376155"
"729",0,"689385","3376155"
"730",0,"689485","3376155"
"731",0,"689585","3376155"
"732",0,"689685","3376155"
"733",0,"689785","3376155"
"734",0,"689885","3376155"
"735",0,"689985","3376155"
"736",0,"690085","3376155"
"737",0,"690185","3376155"
"738",0,"690285","3376155"
"739",0,"690385","3376155"
"740",0,"690485","3376155"
"741",0,"690585","3376155"
"742",0,"690685","3376155"
"743",0,"690785","3376155"
"744",0,"690885","3376155"
"745",0,"690985","3376155"
"746",0,"691085","3376155"
"747",0,"691185","3376155"
"748",0,"691285","3376155"
"749",0,"691385","3376155"
"750",0,"691485","3376155"
"751",0,"691585","3376155"
"752",0,"691685","3376155"
"753",0,"691785","3376155"
"754",0,"691885","3376155"
"755",0,"691985","3376155"
"756",0,"692085","3376155"
"757",0,"692185","3376155"
"758",0,"692285","3376155"
"759",0,"692385","3376155"
"760",0,"692485","3376155"
"761",0,"692585","3376155"
"762",0,"692685","3376155"
"763",0,"692785","3376155"
"764",0,"692885","3376155"
"765",0,"692985","3376155"
"766",0,"693085","3376155"
"767",0,"693185","3376155"
"768",0,"693285","3376155"
"769",0,"693385","3376155"
"770",0,"693485","3376155"
"771",0,"693585","3376155"
"772",0,"693685","3376155"
"773",0,"693785","3376155"
"774",0,"693885","3376155"
"775",0,"693985","3376155"
"776",0,"694085","3376155"
"777",0,"694185","3376155"
"778",0,"694285","3376155"
"779",0,"694385","3376155"
"780",0,"694485","3376155"
"781",0,"675085","3376055"
"782",0,"675185","3376055"
"783",0,"675285","3376055"
"784",0,"675385","3376055"
"785",0,"675485","3376055"
"786",0,"675585","3376055"
"787",0,"675685","3376055"
"788",0,"675785","3376055"
"789",0,"675885","3376055"
"790",0,"675985","3376055"
"791",0,"676085","3376055"
"792",0,"676185","3376055"
"793",0,"676285","3376055"
"794",0,"676385","3376055"
"795",0,"676485","3376055"
"796",0,"676585","3376055"
"797",0,"676685","3376055"
"798",0,"676785","3376055"
"799",0,"676885","3376055"
"800",0,"676985","3376055"
"801",0,"677085","3376055"
"802",0,"677185","3376055"
"803",0,"677285","3376055"
"804",0,"677385","3376055"
"805",0,"677485","3376055"
"806",0,"677585","3376055"
"807",0,"677685","3376055"
"808",0,"677785","3376055"
"809",0,"677885","3376055"
"810",0,"677985","3376055"
"811",0,"678085","3376055"
"812",0,"678185","3376055"
