LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
5489Z,"COX, CHRIS",17,400-FOOT SAND OF BATON ROUGE AREA,Active
5490Z,FAST TRACK,0,[NO WELL MADE],Active
5491Z,SOUTHERN BEVER,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5493Z,SOUTHERN BEVER,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
5494Z,SOUTHERN BEVER,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5497Z,"BRIGNAC, LANCE",5.5,600-FOOT SAND OF BATON ROUGE AREA,Active
905,PARISH WATER CO,22,1500-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
910,"LANGLOIS, C",0,400-FOOT SAND OF BATON ROUGE AREA,Active
5458Z,SOUTHLAND CORP,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5459Z,SOUTHLAND CORP,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5460Z,SOUTHLAND CORP,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5461Z,SOUTHLAND CORP,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5475Z,"ATKINSON, EARL",22,400-FOOT SAND OF BATON ROUGE AREA,Active
619,OAK HILL SUBDIV,0,[NO WELL MADE],Plugged and Abandonded
5329Z,"COURSEY, GREER",0,[NO WELL MADE],Active
663,MIDCO-LA CO,46.86,600-FOOT SAND OF BATON ROUGE AREA,Destroyed
7654Z,UNITED CRAFTS,0,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
7655Z,"CRUMP, BOBBY",18,400-FOOT SAND OF BATON ROUGE AREA,Active
7807Z,BFI,10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7808Z,BFI,10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7809Z,BFI,9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7810Z,BFI,8.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7811Z,BFI,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7812Z,BFI,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7193Z,SAFELITE AUTO,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
735,"ALBRITTON, W",70.42,400-FOOT SAND OF BATON ROUGE AREA,Active
736,EB PUBLIC WORKS,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
737,COPOLYMER RUB,155.4,2000-FOOT SAND OF BATON ROUGE AREA,Active
739,SOUTH CENTRAL,0,SHALLOW SANDS OF BATON ROUGE AREA,Active
741,"BRYANT, S",127.75,400-FOOT SAND OF BATON ROUGE AREA,Abandoned
745,DOLESE CONCRETE,27,400-FOOT SAND OF BATON ROUGE AREA,Active
5350Z,"BERQUIST, L",0,[NO WELL MADE],Active
913,EB REC PARK COM,12.45,SHALLOW SANDS OF BATON ROUGE AREA,Inactive
917,U S GEOL SURVEY,119.08,1500-FOOT SAND OF BATON ROUGE AREA,Active
918,U S GEOL SURVEY,103.15,1500-FOOT SAND OF BATON ROUGE AREA,Active
6266Z,CHEVRON,2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6267Z,CHEVRON,2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6269Z,CHEVRON,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6270Z,CHEVRON,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6271Z,CHEVRON,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6272Z,CHEVRON,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6273Z,CHEVRON,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6274Z,CHEVRON,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1228,PARISH WATER CO,31.44,600-FOOT SAND OF BATON ROUGE AREA,Active
1169,DOLESE CONCRETE,22,400-FOOT SAND OF BATON ROUGE AREA,Active
1170,EB SCHOOL BOARD,0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
7194Z,SAFELITE AUTO,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5820Z,SOUTHLAND CORP,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5821Z,SOUTHLAND CORP,10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5822Z,SOUTHLAND CORP,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5823Z,SOUTHLAND CORP,12,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
5824Z,SOUTHLAND CORP,10,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
799,"OBERLING, J",55,400-FOOT SAND OF BATON ROUGE AREA,Active
800,"DOWNEY, H",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
6729Z,STAR VIDEO,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6730Z,STAR VIDEO,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6734Z,SOUTHLAND CORP,4.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6735Z,SOUTHLAND CORP,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6736Z,SOUTHLAND CORP,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6737Z,"LOVERING, MACK",28,SHALLOW SANDS OF BATON ROUGE AREA,Active
6275Z,CHEVRON,3.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6276Z,CHEVRON,2.7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6422Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6423Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6424Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6425Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6426Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6828Z,RACETRAC PETRO,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6829Z,RACETRAC PETRO,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1175,"HARELSON, CAROL",41,SHALLOW SANDS OF BATON ROUGE AREA,Active
648,FAIRWOOD CC,0,400-FOOT SAND OF BATON ROUGE AREA,Active
649,EXXON CHEMICAL,146,1200-FOOT SAND OF BATON ROUGE AREA,Active
1244,"HAVER, JIM",0,400-FOOT SAND OF BATON ROUGE AREA,Active
1245,TOTAL WOOD REC,10,400-FOOT SAND OF BATON ROUGE AREA,Active
1246,PENNINGTON BIO,23,400-FOOT SAND OF BATON ROUGE AREA,Active
1250,PENTRON,15,400-FOOT SAND OF BATON ROUGE AREA,Active
665,"PULLEN, F",4,SHALLOW SANDS OF BATON ROUGE AREA,Active
6748Z,"LABORDE, DAVID",28,400-FOOT SAND OF BATON ROUGE AREA,Active
972,BATON ROUGE WW,0,400- AND 600-FT SANDS OF BATON ROUGE AREA,Plugged and Abandonded
1130,LSU BATON ROUGE,25,SHALLOW SANDS OF BATON ROUGE AREA,Active
1134A,BATON ROUGE WW,0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
1134B,BATON ROUGE WW,34.3,800-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
1134C,BATON ROUGE WW,45,1000-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
1136,BR COUNTRY CLUB,101,1200-FOOT SAND OF BATON ROUGE AREA,Active
1148,BATON ROUGE WW,150,2400-FOOT SAND OF BATON ROUGE AREA,Active
1149,BATON ROUGE WW,147,2400-FOOT SAND OF BATON ROUGE AREA,Active
622,SHERWOOD FOREST,15.53,1200-FOOT SAND OF BATON ROUGE AREA,Active
624,"COMEAUX, J",0,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
625,"JOLISSANT, J",0,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
627,"KLEINPETER, C",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
631B,"JARREAU, L U",0,400-FOOT SAND OF BATON ROUGE AREA,Active
632,BATON ROUGE WW,67.5,1000-FOOT SAND OF BATON ROUGE AREA,Active
633,KLEINPETER FARM,0,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
634,"KLEINPETER, L",0,400-FOOT SAND OF BATON ROUGE AREA,Active
635,"KLEINPETER, C",0,[NO WELL MADE],Destroyed
637,NATIONAL TEA CO,9.18,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
7183Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7184Z,"CATRIER, A L",17,SHALLOW SANDS OF BATON ROUGE AREA,Active
620,OAK HILL SUBDIV,33.98,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
621,BATON ROUGE WW,10.42,1200-FOOT SAND OF BATON ROUGE AREA,Active
780A,U S GEOL SURVEY,1.52,1200-FOOT SAND OF BATON ROUGE AREA,Active
780B,U S GEOL SURVEY,8.58,1500-FOOT SAND OF BATON ROUGE AREA,Active
781,U S GEOL SURVEY,122.38,2000-FOOT SAND OF BATON ROUGE AREA,Active
782A,U S GEOL SURVEY,18.72,1000-FOOT SAND OF BATON ROUGE AREA,Active
782B,U S GEOL SURVEY,53.67,1500-FOOT SAND OF BATON ROUGE AREA,Active
789A,U S GEOL SURVEY,25.69,400-FOOT SAND OF BATON ROUGE AREA,Active
823,LA WTR RESOURCE,28.69,400-FOOT SAND OF BATON ROUGE AREA,Active
824,LA WTR RESOURCE,84.93,600-FOOT SAND OF BATON ROUGE AREA,Active
825,LA WTR RESOURCE,57.26,400-FOOT SAND OF BATON ROUGE AREA,Active
6985Z,MURPHY OIL,4.12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6986Z,MURPHY OIL,2.58,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6987Z,MURPHY OIL,3.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6988Z,STAR ENTERPRISE,2.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6989Z,STAR ENTERPRISE,1,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6990Z,STAR ENTERPRISE,1,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
6991Z,STAR ENTERPRISE,1,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1137,QUALICARE-WALSH,12,400-FOOT SAND OF BATON ROUGE AREA,Active
749,BATON ROUGE WW,25.23,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
751,BATON ROUGE WW,82,2400-FOOT SAND OF BATON ROUGE AREA,Active
752,RED OAK WTR CO,41.31,1200-FOOT SAND OF BATON ROUGE AREA,Active
753,HOLSUM BAKERY,98.7,800-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
6580Z,"GRAY, LLOYD",30,400-FOOT SAND OF BATON ROUGE AREA,Active
6581Z,DENOVO OIL-GAS,15,SHALLOW SANDS OF BATON ROUGE AREA,Active
6582Z,CHEVRON,4.04,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6583Z,CHEVRON,4.04,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6584Z,CHEVRON,4.04,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6588Z,STAR ENTERPRISE,4.21,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6589Z,STAR ENTERPRISE,3.96,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
999,EB REC PARK COM,0,SHALLOW SANDS OF BATON ROUGE AREA,Inactive
9173Z,CHEVRON EMC,10.97,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9234Z,MOTIVA ENTERPRI,22,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9235Z,MOTIVA ENTERPRI,21,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9487Z,CRESCENT CROWN,4.81,[TO BE DETERMINED],Plugged and Abandonded
9489Z,CRESCENT CROWN,4.76,[TO BE DETERMINED],Plugged and Abandonded
9490Z,CRESCENT CROWN,7.61,[TO BE DETERMINED],Plugged and Abandonded
9491Z,CRESCENT CROWN,4.8,[TO BE DETERMINED],Plugged and Abandonded
7844Z,BFI,9.75,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7845Z,BFI,7.94,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7846Z,BFI,10.17,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7836Z,EXXON CHEMICAL,9.15,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
7838Z,STAR ENTERPRISE,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7438Z,CHEVRON,4.1,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9006Z,"BRUCE, CHARLES",32,[TO BE DETERMINED],Active
9007Z,"DENNY, LYNN",20,400-FOOT SAND OF BATON ROUGE AREA,Active
9008Z,CONOCO PHILLIPS,5.13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9009Z,CONOCO PHILLIPS,5.51,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9010Z,CONOCO PHILLIPS,4.74,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7585Z,CHEVRON,1.47,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7586Z,EXXON CO USA,2.65,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7592Z,EXXON CO USA,5.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7593Z,EXXON CO USA,7.16,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9174Z,CHEVRON EMC,11.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9337Z,CHEVRON EMC,0,[TO BE DETERMINED],Plugged and Abandonded
9339Z,EXXONMOBILE,6.97,[TO BE DETERMINED],Plugged and Abandonded
9340Z,EXXONMOBILE,5.73,[TO BE DETERMINED],Plugged and Abandonded
9341Z,EXXONMOBILE,8.14,[TO BE DETERMINED],Plugged and Abandonded
9342Z,EXXONMOBILE,4.66,[TO BE DETERMINED],Plugged and Abandonded
9343Z,EXXONMOBILE,3.46,[TO BE DETERMINED],Plugged and Abandonded
9344Z,CRESCENT CROWN,3.7,[TO BE DETERMINED],Plugged and Abandonded
9346Z,CRESCENT CROWN,2.6,[TO BE DETERMINED],Plugged and Abandonded
9348Z,CRESCENT CROWN,3.7,[TO BE DETERMINED],Plugged and Abandonded
8938Z,BR PUBLIC WORKS,9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8939Z,BR PUBLIC WORKS,4.24,PLEISTOCENE SERIES,Active
8940Z,BR PUBLIC WORKS,10.78,PLEISTOCENE SERIES,Active
8942Z,BR PUBLIC WORKS,15.3,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8943Z,BR PUBLIC WORKS,7.3,PLEISTOCENE SERIES,Active
8944Z,BR PUBLIC WORKS,38.25,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8945Z,BR PUBLIC WORKS,2.59,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
8946Z,BR PUBLIC WORKS,35.7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8948Z,BR PUBLIC WORKS,2.69,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8949Z,BR PUBLIC WORKS,2.62,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8950Z,BR PUBLIC WORKS,8.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8951Z,BR PUBLIC WORKS,7.19,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8952Z,BR PUBLIC WORKS,7.02,PLEISTOCENE SERIES,Active
8953Z,BR PUBLIC WORKS,3.46,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7607Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7763Z,LA DEPT WILDLIF,40,400-FOOT SAND OF BATON ROUGE AREA,Active
7769Z,"ENGLAND, MIKE",19,400-FOOT SAND OF BATON ROUGE AREA,Active
7771Z,ST JEAN VIANNEY,0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
7772Z,CONOCO PHILLIPS,3.9,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
7773Z,CONOCO PHILLIPS,4.16,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
7774Z,CONOCO PHILLIPS,4.7,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9163Z,ITT FLUID TECHN,7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9167Z,CHEVRON EMC,3.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9169Z,CHEVRON EMC,2.9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9103Z,MURPHY OIL USA,15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8976Z,BR PUBLIC WORKS,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8977Z,BR PUBLIC WORKS,7.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8978Z,BR PUBLIC WORKS,6.3,PLEISTOCENE SERIES,Active
8979Z,BR PUBLIC WORKS,5.3,PLEISTOCENE SERIES,Active
8980Z,CONOCO PHILLIPS,3.42,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8981Z,CONOCO PHILLIPS,2.65,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8982Z,CONOCO PHILLIPS,1.51,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8984Z,LSU BURDEN CENT,35,[TO BE DETERMINED],Active
8985Z,BR PUBLIC WORKS,6.2,PLEISTOCENE SERIES,Active
9266Z,MOTIVA ENTERPRI,0,PLEISTOCENE SERIES,Plugged and Abandonded
8986Z,BR PUBLIC WORKS,27.3,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8987Z,BR PUBLIC WORKS,4,PLEISTOCENE SERIES,Active
9091Z,CONOCO PHILLIPS,11.44,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9443Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9444Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9445Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9446Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9447Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9448Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9092Z,CONOCO PHILLIPS,10.55,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9093Z,CONOCO PHILLIPS,10.38,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9099Z,"MURPHY, MIKE",35,[TO BE DETERMINED],Active
9100Z,"MURPHY, MIKE",35,[TO BE DETERMINED],Active
9267Z,MOTIVA ENTERPRI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9268Z,MOTIVA ENTERPRI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9269Z,MOTIVA ENTERPRI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9270Z,CHEVRON EMC,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9271Z,CHEVRON EMC,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9272Z,CHEVRON EMC,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9451Z,SULLIVAN OIL CO,18,[TO BE DETERMINED],Plugged and Abandonded
9452Z,SULLIVAN OIL CO,16,[TO BE DETERMINED],Plugged and Abandonded
8988Z,BR PUBLIC WORKS,8.3,PLEISTOCENE SERIES,Plugged and Abandonded
9273Z,CHEVRON EMC,4.52,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9274Z,CONOCO PHILLIPS,15.44,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9278Z,"EDWARDS, EDWIN",0,[TO BE DETERMINED],Plugged and Abandonded
8796Z,EXXON MOBIL,3.49,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8799Z,EXXON MOBIL,11.38,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8800Z,WHITE OAK BLDRS,41,400-FOOT SAND OF BATON ROUGE AREA,Active
8801Z,CRACKER BARREL,5.49,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8802Z,CRACKER BARREL,5.49,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8803Z,CRACKER BARREL,5.05,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8805Z,LSU AGRONOMY,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
8806Z,"ROGERS, JASON",15,400-FOOT SAND OF BATON ROUGE AREA,Active
8289Z,MOTIVA ENTERPRI,7.8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8290Z,MOTIVA ENTERPRI,2.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8292Z,EXXON CO USA,4.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8293Z,EXXON CO USA,2.69,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8294Z,EXXON CO USA,8.02,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8295Z,EXXON CO USA,3.79,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8296Z,"VINCE, MELINDA",20,400-FOOT SAND OF BATON ROUGE AREA,Active
8297Z,"BASS, BILL",10,SHALLOW SANDS OF BATON ROUGE AREA,Active
8298Z,EXXON CHEMICAL,10.34,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
9363Z,ENERGY COMPANY,17,[TO BE DETERMINED],Active
9368Z,"DONNELL, ALICIA",25,[TO BE DETERMINED],Active
8872Z,MOTIVA ENTERPRI,5.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8873Z,MOTIVA ENTERPRI,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9436Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9437Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9438Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9439Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9440Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9441Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
9442Z,EXXON MOBIL,0,[TO BE DETERMINED],Plugged and Abandonded
8932Z,BR PUBLIC WORKS,23,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8934Z,BR PUBLIC WORKS,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8935Z,BR PUBLIC WORKS,15,PLEISTOCENE SERIES,Active
8936Z,BR PUBLIC WORKS,12,PLEISTOCENE SERIES,Active
8937Z,BR PUBLIC WORKS,13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9104Z,MURPHY OIL USA,15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9105Z,ITT FLUID TECHN,7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9106Z,ITT FLUID TECHN,7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
