LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
5965Z,SOUTHLAND CORP,3.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
255,"FOREMAN, R",8,SHALLOW SANDS OF BATON ROUGE AREA,Active
5119Z,EXXON CHEMICAL,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
1288,PARISH WATER CO,51,800-FOOT SAND OF BATON ROUGE AREA,Active
6466Z,SOUTHLAND CORP,3.55,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5856Z,EXXON CO USA,8.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5953Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
933,U S GEOL SURVEY,60.64,600-FOOT SAND OF BATON ROUGE AREA,Active
5629Z,EB FIRE DEPT,0,[NO WELL MADE],Active
1267,"HART, WILLIAM",9,SHALLOW SANDS OF BATON ROUGE AREA,Active
9297Z,CYPRESS MANOR B,20,[TO BE DETERMINED],Active
5907Z,YOUNG FASHIONS UNIFORM OUTFITTERS,7,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
7159Z,"LEVERT, PAUL M",29,400-FOOT SAND OF BATON ROUGE AREA,Active
7301Z,PAULS CHRISTIAN,0,[NO WELL MADE],Active
7665Z,EXXON CO USA,12.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7431Z,"WITAKER, RON",30,SHALLOW SANDS OF BATON ROUGE AREA,Active
8286Z,MOTIVA ENTERPRI,7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5649Z,EXXON CHEMICAL,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
146,EB PUBLIC WORKS,33,1200-FOOT SAND OF BATON ROUGE AREA,Active
1094,BFI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5327Z,"HAYES, MOON DRS",0,[NO WELL MADE],Active
6025Z,SOUTHLAND CORP,4.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6624Z,EXXON CO USA,3.12,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5349Z,"MCELVEEN, JOY",0,[NO WELL MADE],Active
1005,"PHILLIPS, HAL",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
8574Z,MURPHY OIL,12.52,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7416Z,STAR ENTERPRISE,6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9500Z,P&S PETRO,0,[TO BE DETERMINED],Active
7330Z,STAR ENTERPRISE,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7753Z,LENNAR CENTRAL,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8972Z,BR PUBLIC WORKS,11.6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
592,FREDS FLORIST,73.5,600-FOOT SAND OF BATON ROUGE AREA,Active
5631Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
326,WIND RUSH PLNTN,29,1200-FOOT SAND OF BATON ROUGE AREA,Active
503,"GRANATA, A",40,400-FOOT SAND OF BATON ROUGE AREA,Active
7908Z,"DUNNAWAY, ZEKE",26,SHALLOW SANDS OF BATON ROUGE AREA,Active
8909Z,URS CORPORATION,8.5,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
981,DEEP SOUTH ELEC,0.75,400-FOOT SAND OF BATON ROUGE AREA,Active
6596Z,TEXACO,7.08,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
1160,"DAMPIER, AL",9,SHALLOW SANDS OF BATON ROUGE AREA,Active
